"Nom","Adresse 1","Adresse 2","Code postal","Ville","T้l้phone 1","T้l้phone 2","Fax","NAF","SIRET","Effectif","Email","Responsable","Activit้"
"VINCENT RABOUTET SARL","","3 Bis LIEU DIT JARD NOLLET","33920","ST SAVIN","0557325785","","","4391A","81314504200012","1 เ 2","","RABOUTET VINCENT","TRAVAUX DE CHARPENTE"
"ACOBOIS AVENIR CONCEPT BOIS","","23 RUE ST VICTOR","34500","VILLENEUVE LES BEZIERS","0484251057","0616822183","","4391A","52180671100029","6 เ 9","","PONCIN GREGOIRE","TRAVAUX DE CHARPENTE"
"AM CHARPENTE BOIS COUVERTURE","","18 ROUTE MINERVE","34210","AZILLANET","0468421432","","","4391A","53123539800025","1 เ 2","contact@amcharpente.fr","ARGENTA MICHAEL","TRAVAUX DE CHARPENTE"
"ARTIZING","","118 CHEMIN ROUVIERE","34380","VIOLS LE FORT","0960540249","0682614801","0467588356","4391A","53296094500022","0","","GUIBERT ALAIN","TRAVAUX DE CHARPENTE"
"BETDF SUD","","7 AVENUE ZI","34340","MARSEILLAN","0801821821","","","4391A","80266257700039","Inconnu","","MIRANDA JULIEN","TRAVAUX DE CHARPENTE"
"CAUQUIL CHARPENTES","","11 RUE LOIS","34500","BEZIERS","0499430463","","","4391A","7504407370001","1 เ 2","","","TRAVAUX DE CHARPENTE"
"CELESTIN CHARPENTES","ZA TANNES BASSES","RUE SYRAH","34800","CLERMONT L'HERAULT","0467449360","","0467449369","4391A","41465429300029","10 เ 19","","","TRAVAUX DE CHARPENTE"
"CHARPENTE LE TOIT","","28 CHEMIN BOUJAN","34420","VILLENEUVE LES BEZIERS","0467267625","0610610887","","4391A","45163095800028","6 เ 9","","LOURIAC JASON","TRAVAUX DE CHARPENTE"
"CHARPENTES LOSSON","","610 CHEMIN SURVEILLANTS","34400","LUNEL","0611465138","","","4391A","78852849500021","Inconnu","charpenteslosson@gmail.com","LOSSON KEVIN","TRAVAUX DE CHARPENTE"
"CONCEP'TOITURE","ZAE","VIA EUROPA 5 R STOCKHOLM","34350","VENDRES","0971583469","0646103115","","4391A","79017566500013","3 เ 5","","MOIA NICOLAS","TRAVAUX DE CHARPENTE"
"CTB","","CHEMIN MAS DE NAVAS","34150","GIGNAC","0467606793","0680613768","","4391A","45047669200030","Inconnu","concept-tradi-bois@orange.fr","SOGORB LAURENT","TRAVAUX DE CHARPENTE"
"DEPECH TOIT","","9 RUE HOCHE","34700","LODEVE","0630810158","","","4391A","50194692500010","1 เ 2","contact@charpenteco.fr","BARNOIN AURELIEN","TRAVAUX DE CHARPENTE"
"DEPECH TOIT","","1465 ROUTE MAYRES","34700","LODEVE","0630810158","","","4391A","50194692500036","1 เ 2","","BARNOIN AURELIEN","TRAVAUX DE CHARPENTE"
"EMBELLITOIT","","23 CHEMIN MOULIN","34420","CERS","0467767295","0624810725","","4391A","52192596600033","3 เ 5","contact@embellitoit.net","BENOUZZA MOHAMMED","TRAVAUX DE CHARPENTE"
"ENTREPRISE MOREAU","","MAS DE GAMBY","34140","MEZE","0603583812","","","4391A","79253547800038","Inconnu","","MOREAU MANOU STEVE","TRAVAUX DE CHARPENTE"
"ETS BOUZAT MONTPELLIER","","148 RUE MARIUS CARRIEU","34080","MONTPELLIER","0467108365","","","4391A","42149576300037","0","","BOUZAT TRISTAN","TRAVAUX DE CHARPENTE"
"EURO TOITURE","","8 RUE AUVERGNE","34500","BEZIERS","0467762261","","","4391A","51118482200019","1 เ 2","","CHATEL CHRISTOPHE","TRAVAUX DE CHARPENTE"
"GRACIA THIERRY","","34 RUE SEBASTOPOL","34550","BESSAN","0467211596","","","4391A","48302040000022","Inconnu","","GRACIA THIERRY IMMOBILIER","TRAVAUX DE CHARPENTE"
"L'ATELIER","","28 RUE ST JEAN","34320","ROUJAN","0610715413","","","4391A","75284234400026","0","","MOLINIER BENJAMIN","TRAVAUX DE CHARPENTE"
"LAGACHE COUVERTURE","","3 RUE PINS","34000","MONTPELLIER","0661584370","","","4391A","74999543700011","Inconnu","","LAGACHE SEBASTIEN","TRAVAUX DE CHARPENTE"
"MAISON RENOVATION","","40 RUE THERMES","34110","FRONTIGNAN","0668412719","","","4391A","43762476000033","Inconnu","","MINCK JEAN","TRAVAUX DE CHARPENTE"
"MARINHO BRUNO","","4 AVENUE MURIERS","34750","VILLENEUVE LES MAGUELONNE","0650886940","","","4391A","79930444900017","0","","GONCALVES MARINHO BRUNO","TRAVAUX DE CHARPENTE"
"MAT FRANCE SARL","","8 IMPASSE ROMARIN","34420","CERS","0698210468","","","4391A","75063673000012","0","","MELLAL MANUEL","TRAVAUX DE CHARPENTE"
"MMT THOMAS ET ASSOCIES","","19 Bis AVENUE ANIANE","34150","LA BOISSIERE","0467554929","0622536335","","4391A","80263123400027","1 เ 2","","MORAND ANNE-PASCALE","TRAVAUX DE CHARPENTE"
"SUD TOITURES","CENTRE D'AFFAIRES AGATHE","6 AVENUE GRAND LARGE","34300","AGDE","0660317696","","","4391A","85301423100015","Inconnu","","ROBERT LAURENT","TRAVAUX DE CHARPENTE"
"TECHNI BOIS","","22 RUE MARBRERIE","34740","VENDARGUES","0467706340","","0467708190","4391A","40117153300029","20 เ 49","contact@techni-bois.fr","CAHUC FRANCOIS","TRAVAUX DE CHARPENTE"
"THIERRY TOITURES","ZAC MERCORENT","6 RUE NICOLAS JOSEPH CUGNOT","34500","BEZIERS","0430724025","","","4391A","53397352500025","10 เ 19","","JANODET THIERRY","TRAVAUX DE CHARPENTE"
"TOITURE DE STYLE","","28 AVENUE MOLIERE","34290","ABEILHAN","0617377357","","","4391A","43369134200029","0","","TOITURE DE STYLE","TRAVAUX DE CHARPENTE"
"TOITURE SPRINGER","","27 QUAI DOCT SCHEYDT","34200","SETE","0616825459","","","4391A","52464381400030","1 เ 2","toiturespringer@gmail.com","SPRINGER PHILIP","TRAVAUX DE CHARPENTE"
"TRADI BOIS SARL","","528 ROUTE QUISSAC","34270","LE TRIADOU","0467555666","0616848180","","4391A","51258473100016","6 เ 9","","VASSEUR VINCENT","TRAVAUX DE CHARPENTE"
"VANCLOT SARL","","21 RUE HENRI SAUREL","34420","VILLENEUVE LES BEZIERS","0467394818","","","4391A","32965180600039","6 เ 9","vanclot.sarl@gmail.com","CLOTTES LAURENT","TRAVAUX DE CHARPENTE"
"WOOD&ZINC","","152 ALLEE ST EXUPERY","34980","ST GELY DU FESC","0633153042","","","1623Z","89275589300013","Inconnu","woodetzinc@gmail.com","SANDEVOIR QUENTIN","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"CHARPENTE COUVERTURE DAMIEN ORRIERE","","LIEU DIT FORGERIE","35500","ST M'HERVE","0299767338","0622396013","","4391A","50862462400013","6 เ 9","","ORRIERE DAMIEN","TRAVAUX DE CHARPENTE"
"CHEVRIER CHARPENTE COUVERTURE","","LA NONGIE","35680","DOMALAIN","0683146969","","","4391A","89217388100012","Inconnu","","CHEVRIER SEVERIN","TRAVAUX DE CHARPENTE"
"COUPEAU","","LES 4 VENTS","35133","LE LOROUX","0299952171","","","4391A","80199283500018","Inconnu","sarlcoupeau.couverture@gmail.com","COUPEAU FLORENTIN","TRAVAUX DE CHARPENTE"
"DAVID FABRICE","","LA RENNELAIS","35580","BAULON","0299854083","","","4391A","49085222500013","0","","DAVID FABRICE","TRAVAUX DE CHARPENTE"
"EURL AVRIL CHARPENTE","","LA BUTAUDIERE","35150","JANZE","0299470250","","","4391A","53756063300019","3 เ 5","","AVRIL FLORIAN","TRAVAUX DE CHARPENTE"
"F M C","","LA HAYAIS","35133","JAVENE","0650488165","","","4391A","82288683400016","1 เ 2","","MARTIN REMY","TRAVAUX DE CHARPENTE"
"GATEL GAETAN","","LIEU DIT BRAIS","35230","NOYAL SUR SEICHE","0608729792","","","4391A","79052944000014","3 เ 5","","HAMON PATRICIA","TRAVAUX DE CHARPENTE"
"GODELOUP DROUYE SARL","ZA LA GANDONNIERE","3 RUE JEAN BORDAIS","35500","POCE LES BOIS","0624430163","","","4391A","53776000100025","0","","DROUYE ROMAIN","TRAVAUX DE CHARPENTE"
"HEINRY VICTOR SARL","","LIEU DIT PEURETTE","35680","VERGEAL","0299495242","","0299495041","4391A","4203246420001","3 เ 5","sarl.emmanuel.heinry@orange.fr","","TRAVAUX DE CHARPENTE"
"JARNOT SARL","","RUE AULNES","35590","ST GILLES","0299646597","","0299648252","4391A","31070985200027","20 เ 49","contact@groupe-bam.fr","BAUER LAURENT","TRAVAUX DE CHARPENTE"
"LAINE KEVIN SARL","","RUE EUGENE FREYSSINET","35133","JAVENE","0625492277","","","4391A","81394481600020","1 เ 2","kevin.laine35@laposte.net","LAINE KEVIN","TRAVAUX DE CHARPENTE"
"LDG BOIS","","LA CROIX NEUVE","35560","MARCILLE RAOUL","0632412472","","","4391A","82189307000010","Inconnu","","LE DU GAETAN","TRAVAUX DE CHARPENTE"
"POINTEAU DAVID","","3 RUE VIEUX MOULIN","35220","CHATEAUBOURG","0618596627","","","4391A","41999453800033","0","","POINTEAU DAVID","TRAVAUX DE CHARPENTE"
"SARL MARSOLIER","","6 ZA EPINE","35133","LA CHAPELLE JANSON","0299952164","0681749112","0299952956","4391A","38881523500014","6 เ 9","","MARSOLIER CHRISTOPHE","TRAVAUX DE CHARPENTE"
"B3C","","20 RUE GACHONS","36300","LE BLANC","0664700496","","","4391A","79030250900019","1 เ 2","","CARCA BASTIEN","TRAVAUX DE CHARPENTE"
"BAZIER MARTINAT","","24 RUE LAVOIR","36500","PALLUAU SUR INDRE","0672479647","","","4391A","89012987700019","Inconnu","","BAZIER KEVIN","TRAVAUX DE CHARPENTE"
"BERGER PATRICK","","ROUTE VILLEDOMAIN","36240","ECUEILLE","0254402223","","0254402979","4391A","34198133000028","0","","BERGER PATRICK","TRAVAUX DE CHARPENTE"
"BRIALY COUVERTURE EURL","","LA VALLEE DES HOUX","36210","BAGNEUX","0254001606","","","4391A","82028471900011","0","","BRIALY LUDOVIC","TRAVAUX DE CHARPENTE"
"BRISSAUD SEBASTIEN","","32 ROUTE NATIONALE","36300","CIRON","0254373694","0608746127","","4391A","49057434000017","3 เ 5","","BRISSAUD SEBASTIEN","TRAVAUX DE CHARPENTE"
"CCE DU VAL DE L'INDRE SARL","","CELON","36320","VILLEDIEU SUR INDRE","0684803946","","","4391A","51945770900011","3 เ 5","","GRENON JEROME","TRAVAUX DE CHARPENTE"
"CHAPIOTIN NICOLAS","","21 LES PORTES","36600","VALENCAY","0669540459","","","4391A","84254827300015","Inconnu","","CHAPIOTIN NICOLAS","TRAVAUX DE CHARPENTE"
"CHARPENTIER MICHEL SARL","4 RUE DE LA VARENNE","RUE SABLES DE BEAUREGARD","36700","CHATILLON SUR INDRE","0254387981","0688059228","0254388795","4391A","42176362400036","10 เ 19","","GASNAULT LAURENT","TRAVAUX DE CHARPENTE"
"CLEMENT GILLARD","","3 RUE SOUTINE","36300","LE BLANC","0632402034","","","4391A","53981631400014","1 เ 2","","GILLARD CLEMENT","TRAVAUX DE CHARPENTE"
"COUVERTURE ART ET TRADITION","","LES DORONS","36600","VICQ SUR NAHON","0760756410","","","4391A","88031442200010","Inconnu","","ALCHEIK DAVID","TRAVAUX DE CHARPENTE"
"DAGAULT FRERES","","25 Bis RUE LIMOUSINE","36700","CLION","0254386395","0662486395","","4391A","79201267600013","1 เ 2","","DAGAULT NICOLAS","TRAVAUX DE CHARPENTE"
"DEBIEN DIMITRI","","26 Bis RUE PETIT PARIS","36220","TOURNON ST MARTIN","0254287864","0631979512","","4391A","75101970400012","1 เ 2","","DEBIEN DIMITRI","TRAVAUX DE CHARPENTE"
"DESCOUX DESSOLIERE","","2 RUE PUITS","36340","MAILLET","0254251270","","","4391A","44485021800025","0","","DESCOUX DENIS","TRAVAUX DE CHARPENTE"
"GRENOUILLOUX REMY","","40 RUE CALMETTE ET GUERIN","36120","ARDENTES","0762776720","","","4391A","82107411900016","0","sasuremygrenouilloux@gmail.com","GRENOUILLOUX REMY","TRAVAUX DE CHARPENTE"
"GUIMPIED CHRISTOPHE","","35 RUE PRINCIPALE","36600","FONTGUENAND","0254710628","","","4391A","42195985900024","6 เ 9","","GUIMPIED CHRISTOPHE","TRAVAUX DE CHARPENTE"
"LE BOIS AU NATUREL","","ROUTE NATIONALE 151 AV 8 MAI 1945","36130","MONTIERCHAUME","0254260027","0677194862","","4391A","52391158400010","3 เ 5","","JOUSSE PASCAL","TRAVAUX DE CHARPENTE"
"M RETY ERIC","","24 RUE PROMENADE","36180","PELLEVOISIN","0686078310","","","4391A","49845332300012","0","","RETY ERICK","TRAVAUX DE CHARPENTE"
"MALHERBE LAURENT","","83 RUE ERNEST PINARD","36210","CHABRIS","0254051368","0682684410","","4391A","75221488200017","1 เ 2","","MALHERBE LAURENT","TRAVAUX DE CHARPENTE"
"PASQUIER LUDOVIC","","GRAND FOND","36700","FLERE LA RIVIERE","0982124093","0676031828","","4391A","78983696200025","1 เ 2","","PASQUIER LUDOVIC","TRAVAUX DE CHARPENTE"
"REINOITE ADRIANO","","ROUTE LEVROUX","36110","MOULINS SUR CEPHONS","0254351892","","","4391A","39088845100031","0","","REINOITE-PIMPAO ADRIANO","TRAVAUX DE CHARPENTE"
"RENONCET SARL","","13 LES CHEZEAUX","36300","DOUADIC","0254373220","","","4391A","45270061000028","3 เ 5","contact@renoncet.fr","MIZSER MARIUS","TRAVAUX DE CHARPENTE"
"RODET FREDERIC EURL","","20 RUE ANCIENNE MAIRIE","36250","ST MAUR","0254600110","","","4391A","44886167400019","3 เ 5","","RODET FREDERIC","TRAVAUX DE CHARPENTE"
"SAS GUILLAUME PELUCHONNEAU","","ROUTE PEZ CHAUVET","36270","EGUZON CHANTOME","0674718191","","","4391A","87925296300019","Inconnu","","CHALARD MELANIE","TRAVAUX DE CHARPENTE"
"SL2C RENONCET","","13 LES CHEZEAUX","36300","DOUADIC","0254369871","","","4391A","82251499800027","Inconnu","","AUCLAIR TONY","TRAVAUX DE CHARPENTE"
"THIERRY MERLIN","","ROUTE PONT DE MONT","36200","ST MARCEL","0254240762","","","4391A","45029159600010","3 เ 5","","MILITON SYLVIE","TRAVAUX DE CHARPENTE"
"VALLEE LIONEL","","31 ROUTE BLANC","36300","POULIGNY ST PIERRE","0254285632","0608800160","","4391A","43840240600021","0","","VALLEE LIONEL","TRAVAUX DE CHARPENTE"
"VILBOIS XAVIER","","9 ROUTE SELLES","36600","LYE","0254410065","","","4391A","38834306300037","1 เ 2","","VILBOIS XAVIER","TRAVAUX DE CHARPENTE"
"AAC COUVERTURE","","LA BOUETTERIE","37110","ST NICOLAS DES MOTETS","0247383397","","","4391A","79777153200018","1 เ 2","","SCHWEIGART CHRISTIAN","TRAVAUX DE CHARPENTE"
"ABTR COUVERTURE","","7 RUE POTERIE","37360","BEAUMONT LA RONCE","0247244985","","","4391A","83041821600016","Inconnu","","THEONE ROMAIN","TRAVAUX DE CHARPENTE"
"AMGAR AURELIEN","","5 RUE GEORGES BIZET","37230","FONDETTES","0606587791","","","4391A","80243506500031","Inconnu","","AMGAR AURELIEN","TRAVAUX DE CHARPENTE"
"ART DE TOIT 37","LE VIGNEAU","15 RUE GUSTAVE EIFFEL","37370","ST PATERNE RACAN","0247292602","","","4391A","80393368800019","3 เ 5","artdetoit37@gmail.com","CHENEAU CHRISTOPHE","TRAVAUX DE CHARPENTE"
"AU BOIS COUVERT","","RUE CYPRES","37240","BOSSEE","0247928117","","","4391A","44240793800020","6 เ 9","","BREUZIN FRANTZ","TRAVAUX DE CHARPENTE"
"AVIRON SARL","LA FOLIE","AVENUE 11 NOVEMBRE 1918","37240","LIGUEIL","0247599732","","","4391A","80373134800014","6 เ 9","","AVIRON THIBAULT","TRAVAUX DE CHARPENTE"
"AXE TOITURE","","9 RUE MOTTE","37700","ST PIERRE DES CORPS","0247460454","","","4391A","82471622900011","1 เ 2","","CAMBRON STEPHANE","TRAVAUX DE CHARPENTE"
"BASTARD SARL","PARC TECHNOLOGIQUE DE LA CHATA","16 RUE MAISON ROUGE","37510","BALLAN MIRE","0234744054","","","4391A","53786779800010","10 เ 19","","BASTARD THIERRY","TRAVAUX DE CHARPENTE"
"BERNEUX SARL","","RUE GROSSES PIERRES","37530","CHARGE","0247571159","","0247577526","4391A","35078854300022","6 เ 9","nicolasberneux@sarlberneux.fr","BERNEUX NICOLAS","TRAVAUX DE CHARPENTE"
"BILLAULT SARL","","1 RUE SIBILLERIE","37150","LUZILLE","0247574415","","","4391A","51304365300015","1 เ 2","","BILLAULT MICKAEL","TRAVAUX DE CHARPENTE"
"BONNEAU HERVE","","21 RUE ACACIAS","37510","SAVONNIERES","0247435468","0699443755","","4391A","45254346500028","3 เ 5","","BONNEAU HERVE","TRAVAUX DE CHARPENTE"
"BOURREAU FILS SARL","LD VILLERONDE","RUE AQUEDUC","37230","LUYNES","0247556221","0603994572","","4391A","82927164200011","Inconnu","sarl.bourreaufils@gmail.com","BOURREAU THOMAS","TRAVAUX DE CHARPENTE"
"BOUSSIQUET","ZA LA MARTINIERE","10 RUE EMILE DE LA TAILLE","37500","CHINON","0247934205","","0247983233","4391A","39469594400014","20 เ 49","","ROULLET MARCEL","TRAVAUX DE CHARPENTE"
"BRAZILLER EURL","","9 Bis SASSAY","37500","LIGRE","0247589786","","","4391A","44353771700037","1 เ 2","","BRAZILLER LAURENT","TRAVAUX DE CHARPENTE"
"BRECHARD CHARPENTE","ZAE CAR EN TOURAINE","3 ALLEE LOUIS NEEL","37510","BALLAN MIRE","0247530906","","0247678078","4391A","51021832400018","1 เ 2","","BRECHARD STEPHANE","TRAVAUX DE CHARPENTE"
"CAILLER NICOLAS CHARPENTE COUVERTURE","","1 RUE PRINCIPALE","37120","BRASLOU","0247956535","","","4391A","48317513900011","3 เ 5","","CAILLER NICOLAS","TRAVAUX DE CHARPENTE"
"CHARPENTE CLAUDE RAGUIN","","313 RUE MORANDIERE","37260","MONTS","0247340140","","0247349331","4391A","34922011100026","6 เ 9","contact@charpente-raguin.fr","RAGUIN AURELIEN","TRAVAUX DE CHARPENTE"
"CHARPENTE COUVERTURE DANIEAU","","4 ROUTE CHINON","37120","LEMERE","0247957080","","","4391A","49198181700027","0","","DANIEAU JEAN-MICKAEL","TRAVAUX DE CHARPENTE"
"CHARPENTE COUVERTURE ZINGUERIE GALLAND SAS","","93 RUE DESCARTES","37290","YZEURES SUR CREUSE","0247944823","","","4391A","33486026900011","10 เ 19","","BIZOT JONATHAN","TRAVAUX DE CHARPENTE"
"CLOAREC COUVERTURE","","RUE PIERRE FONTAINE","37330","COUESMES","0685702011","","","4391A","45309583800018","1 เ 2","","CLOAREC LAURENT","TRAVAUX DE CHARPENTE"
"CORNET SARL","","LE VAL AUX MOINES","37160","DESCARTES","0247598450","","","4391A","39391981600024","10 เ 19","","CORNET OLIVIER","TRAVAUX DE CHARPENTE"
"COUVERTURE LE ROUX CHRISTOPHE","","9 RUE REAUX","37350","LE GRAND PRESSIGNY","0247910312","","","4391A","44023152000014","6 เ 9","","LE ROUX CHRISTOPHE","TRAVAUX DE CHARPENTE"
"COUVERTURE RAMOS BJC","","47 RUE JULES VERNE","37520","LA RICHE","0609825529","","","4391A","48760905900026","Inconnu","","COUVERTURE RAMOS BJC","TRAVAUX DE CHARPENTE"
"COUVERTURE ROBIN BENOIT","","8 RUE GUSTAVE EIFFEL","37150","BLERE","0247578602","","","4391A","50219888000010","0","","ROBIN BENOIT","TRAVAUX DE CHARPENTE"
"DIEU CHARPENTE COUVERTURE SARL","","LA ROITIERE","37350","LE PETIT PRESSIGNY","0247910376","0620880154","","4391A","52118669200013","1 เ 2","","DIEU JEAN-BAPTISTE","TRAVAUX DE CHARPENTE"
"DUHOURCQ FREDERIC","","32 RUE FOSSE COURTOISE","37600","LOCHES","0247592308","","","4391A","49382483300013","1 เ 2","","DUHOURCQ FREDERIC","TRAVAUX DE CHARPENTE"
"DURAFOUR VINCENT","","3 IMPASSE CHENES","37600","FERRIERE SUR BEAULIEU","0247946634","0623129525","","4391A","80904150200018","Inconnu","","DURAFOUR VINCENT","TRAVAUX DE CHARPENTE"
"E C D M MULTISERVICES","","2 RUE CLOS FERRAND","37150","BLERE","0607253407","","","4391A","49160313000015","0","","COUREL DENIS","TRAVAUX DE CHARPENTE"
"ENTREPRISE VALIBUS NOEL","","22 Bis RUE GEN DE GAULLE","37110","AUZOUER EN TOURAINE","0247570624","","","4391A","45276816100021","6 เ 9","","VALIBUS NOEL","TRAVAUX DE CHARPENTE"
"ETS SELLIER","","15 AVENUE EDOUARD MICHELIN","37200","TOURS","0667042928","","","4391A","83891353100011","Inconnu","contact@ets-sellier.com","SELLIER JORDAN","TRAVAUX DE CHARPENTE"
"EURL PHILIPPE FLOURIOT","","1 Bis RUE CORMIERS","37530","CANGEY","0607138846","","","4391A","84155851300013","0","","FLOURIOT PHILIPPE","TRAVAUX DE CHARPENTE"
"FAVREAU FREDERIC","","ZA BOIS GAULPIED LIEU DIT LE GRAND","37310","SUBLAINES","0660965578","","","4391A","83019900600016","1 เ 2","favreau.charpente.couverture@outlook.fr","FAVREAU FREDERIC","TRAVAUX DE CHARPENTE"
"FRELON ETS","","4 LE MOULIN DE PAULMY","37350","PAULMY","0247599660","","0247923126","4391A","35373694500026","10 เ 19","","FRELON DOMINIQUE","TRAVAUX DE CHARPENTE"
"FROUIN JEREMY","","22 RUE THIBAUDIERE","37310","COURCAY","0247921212","0613207494","","4391A","81466825700011","1 เ 2","","FROUIN SEBASTIEN","TRAVAUX DE CHARPENTE"
"GASSELIN FAVREAU SARL","","2 LE PETIT BERGERESSE","37310","AZAY SUR INDRE","0247921845","","","4391A","49202774300037","3 เ 5","","ARNAULT MARTINE","TRAVAUX DE CHARPENTE"
"GIROUX PIERRE","","13 Bis RUE JARDINS","37270","ST MARTIN LE BEAU","0789619508","","","4391A","82320842600028","0","","GIROUX PIERRE","TRAVAUX DE CHARPENTE"
"GRENAT SEBASTIEN","","9 ROUTE GAUDINIERE","37420","HUISMES","0669406366","","","4391A","53185975900015","0","","GRENAT SEBASTIEN","TRAVAUX DE CHARPENTE"
"HODELIN FRERES","","LA PETITE MORINIERE","37370","ST AUBIN LE DEPEINT","0247293144","","","4391A","45285423500010","1 เ 2","","SDF HODELIN FRERES","TRAVAUX DE CHARPENTE"
"JACNEAU OLIVIER","","68 RUE FOUR A CHAUX","37150","BLERE","0247303684","","","4391A","79013368000013","1 เ 2","","JACNEAU OLIVIER","TRAVAUX DE CHARPENTE"
"JACQUES CHARPENTE COUVERTURE ENERG","","2 RUE ORGE BECHERIE","37310","CHEDIGNY","0762134047","","","4391A","75050960600018","1 เ 2","","JACQUES THIERRY","TRAVAUX DE CHARPENTE"
"LAM COUVERTURE","","LA METAIRIE TOIZAY","37310","COURCAY","0247921212","","","4391A","81466825700011","1 เ 2","","FROUIN SEBASTIEN","TRAVAUX DE CHARPENTE"
"LEFEVRE WILLY","","13 RUE FRANCOIS HARDOUIN","37100","TOURS","0672071906","","","4391A","51879177700023","0","","LEFEVRE WILLY","TRAVAUX DE CHARPENTE"
"LEHOUX LAURENT","ZA OUEST LE BOULAY","17 RUE FLETEAU","37110","CHATEAU RENAULT","0247568840","","","4391A","42493422200045","Inconnu","","LEHOUX LAURENT","TRAVAUX DE CHARPENTE"
"M D C SARL","","24 RUE MAISONS ROUGES","37230","FONDETTES","0767840001","","","4391A","83460583400029","Inconnu","","DE CARVALHO MICKAEL","TRAVAUX DE CHARPENTE"
"MALLET DOMINIQUE ETS","","29 RUE BELLES LANDES","37260","MONTS","0247340017","","","4391A","82312717000012","Inconnu","","MALLET DOMINIQUE","TRAVAUX DE CHARPENTE"
"MEUSNIER DIDIER","","2 ALLEE WAGRAM","37100","TOURS","0613651904","","","4391A","84088468800010","0","meusnierdidier37@gmail.com","MEUSNIER DIDIER","TRAVAUX DE CHARPENTE"
"MOULINEUF FLORIAN SARL","","43 RUE ECOLES","37330","SOUVIGNE","0650140760","","","4391A","83418656100025","Inconnu","ent.moulineuf@gmail.com","MOULINEUF FLORIAN","TRAVAUX DE CHARPENTE"
"NOURI ST TOITURE","","7 RUE EDOUARD BRANLY","37170","CHAMBRAY LES TOURS","0247494507","","","4391A","80119973800015","1 เ 2","","NOURI FREDERIC","TRAVAUX DE CHARPENTE"
"PARAT","","12 RUE PRIEURE","37220","PARCAY SUR VIENNE","0247586328","","","4391A","37877432700019","1 เ 2","","PARAT VINCENT","TRAVAUX DE CHARPENTE"
"PASTOR SARL","","9 RUE MOULIN NEUF","37150","FRANCUEIL","0247303591","","0247791134","4391A","75232955700017","3 เ 5","sebastien_pastor@outlook.fr","PASTOR SEBASTIEN","TRAVAUX DE CHARPENTE"
"PL2C SARL","ZA PIDELLERIE","ZA DE LA PIDELLERIE","37270","VERETZ","0247205063","","0245471712","4391A","79223517800011","1 เ 2","","HUET GIANNI","TRAVAUX DE CHARPENTE"
"QUINTAS PERE ET FILS SARL","","20 RUE JAQUELINE AURIOL","37700","LA VILLE AUX DAMES","0247512102","","","4391A","43457740900023","10 เ 19","","QUINTAS JEROME","TRAVAUX DE CHARPENTE"
"RABAUX XAVIER","","9 RUE RICHELIEU","37120","COURCOUE","0247587090","0615455704","","4391A","81210991600013","0","","RABAUX XAVIER","TRAVAUX DE CHARPENTE"
"ROCHER","","2 ROUTE CHAUSSEE","37500","ST GERMAIN SUR VIENNE","0247959595","","0247958048","4391A","43872165600025","10 เ 19","","ROCHER PATRICK","TRAVAUX DE CHARPENTE"
"ROMAIN CHARPENTE COUVERTURE","","8 RUE FOUGERES","37420","RIGNY USSE","0682252767","","","4391A","75271794200011","0","raudecon@gmail.com","AUDECON ROMAIN","TRAVAUX DE CHARPENTE"
"ROQUIN OLIVIER","","21 RUE COLOMBIER","37700","ST PIERRE DES CORPS","0247447581","","0247319712","4391A","45356440300039","1 เ 2","","ROQUIN OLIVIER","TRAVAUX DE CHARPENTE"
"SARL DESMARAIS","","ROUTE DE LA FORET LES PERRES","37370","LOUESTAULT","0247248737","0684091850","","4391A","88037687600012","Inconnu","","DESMARAIS SAMUEL","TRAVAUX DE CHARPENTE"
"SICAULT VINCENT SAS","","6 RUE ARTISANS","37230","LUYNES","0247556423","","","4391A","82276404900018","3 เ 5","","MONTAGU MAGDALENA","TRAVAUX DE CHARPENTE"
"SOCIETE GIRARD TARDY","","66 RUE LOCHES","37800","STE MAURE DE TOURAINE","0247656820","","","4391A","75399225400023","3 เ 5","","TARDY WILLIAM","TRAVAUX DE CHARPENTE"
"SOREAU DENIS","","LE MARAIS FRAMBERT","37120","CHAMPIGNY SUR VEUDE","0247957332","","","4391A","39777493600025","0","","SOREAU DENIS","TRAVAUX DE CHARPENTE"
"STEPHANE POUESSEL SARL","ZAE LA BOUCHARDIERE","200 RUE FRANCIS PERRIN","37260","MONTS","0247539280","","0247537375","4391A","44064459900027","10 เ 19","","POUESSEL STEPHANE","TRAVAUX DE CHARPENTE"
"TOITURE SERVICE","","ALLEE MARIUS BERLIET","37320","ESVRES","0247357986","","","4391A","51359550400012","3 เ 5","","BOUCHERE FREDERIC","TRAVAUX DE CHARPENTE"
"TRAVAILLARD","","CHAMPLAY","37510","BALLAN MIRE","0247531994","0684974821","","4391A","89030094000016","Inconnu","","TRAVAILLARD CHARLES","TRAVAUX DE CHARPENTE"
"VALIBUS NOEL","","LIEU DIT ST RIGOMER","37380","NEUILLE LE LIERRE","0247570624","","","4391A","45276816100021","6 เ 9","","VALIBUS NOEL","TRAVAUX DE CHARPENTE"
"VAUGUET JEAN LUC","ZI NOD ZI NODE","RUE ANDRE AMPERE","37310","TAUXIGNY","0247430944","0687690349","","4391A","50203445700023","3 เ 5","","VAUGUET JEAN-LUC","TRAVAUX DE CHARPENTE"
