"Nom","Adresse 1","Adresse 2","Code postal","Ville","Téléphone 1","Téléphone 2","Fax","NAF","SIRET","Effectif","Email","Responsable","Activité"
"A'CLIMATIS","","277 CHEMIN MAZES A MEZOULS","34130","ST AUNES","0434266281","","0499238532","3312Z","8104829270001","3 à 5","","","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"A'CLIMATIS EURL","ZAC DU SALAISON","5 IMPASSE MILLEPERTUIS","34740","VENDARGUES","0434266281","","0499238532","3312Z","8104829270001","3 à 5","secretariat@aclimatis.fr","","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"CAHUZAC SARL","ZAC LES MASSELETTES","24 AVENUE JEAN SENEGAS","34490","THEZAN LES BEZIERS","0467324853","","0467320759","3312Z","39894900800039","3 à 5","","CAHUZAC BERNARD","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"CONFORTCLIM34","","6 RUE POIRIERS","34500","BEZIERS","0689514696","","","3312Z","79413483300035","0","pierre.boher@gmail.com","BOHER PIERRE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"DR PAC","","18 RUE ST JEAN","34130","LANSARGUES","0467580699","","","3314Z","81089959100012","0","","CHERET HERVE","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"FICOMEC","ZI LES FOURNELS","332 RUE ARTISANAT","34400","LUNEL","0467710248","","","3312Z","3280636490003","3 à 5","laurence.patissier@ficomec.fr","","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"NET CLIM","","150 RUE PIERRE ET MARIE CURIE","34430","ST JEAN DE VEDAS","0467641945","","0957561720","3314Z","49511389600015","3 à 5","entretien@netclim.net","SUCHET SANDRINE","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"POLY FROID 34","","RUE GEORGES CHARPAK","34420","PORTIRAGNES","0467099595","","0467099516","3312Z","39118859600020","6 à 9","polyfroid34@wanadoo.fr","","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"TECHNIVOLUTION","","45 AVENUE MONTPELLIER","34470","PEROLS","","","0467170649","3312Z","38797091600046","1 à 2","","BENSAI MALEK","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"KERFROID","","15 AVENUE MARVILLE","35400","ST MALO","0299828282","","","3312Z","33233334300066","0","","LALAIRE JOEL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"SFIC SERVICE FRIGORIFIQUE IND ET COMMERCIAL","","2 RUE CHARLES MENARDAIS","35470","BAIN DE BRETAGNE","0299439611","","0299438778","3312Z","34953840500011","0","","BOURRE LAURENT","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ALPHA SERVICES SAS VALFROID","","46 RUE PONT","36210","CHABRIS","0254467258","0679592573","","3312Z","82303106700031","Inconnu","","TOUCHARD DAVID","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"MAINTENANCE FROID INDUSTRIEL MFI","","ZI LA MALTERIE","36130","MONTIERCHAUME","0254221144","","","3312Z","39299294700011","20 à 49","","","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"FRIMACOL EURL","","17 LOTISSEMENT CHANTE GRILLET","38138","LES COTES D'AREY","0671962483","","","3312Z","49907250200036","0","contact@frimacol.fr","BUISSON ERIC","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"GARNIER FROID SERVICE","","ROUTE GALBITS","38850","CHIRENS","0981481147","","","3312Z","80169825900026","Inconnu","","GARNIER YANNICK","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"BOURCET SARL","LE SAUNIER","ROUTE LONS","39270","AUGISEY","0384445570","","0384445031","3312Z","40052751100010","20 à 49","","BOURCET JEAN","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"DURAND GUY","","25 CHEMIN SITON","40280","HAUT MAUCO","0607107114","","","3314Z","31209252100037","0","","DURAND GUY","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"ALPHA SERVICES","","6 RUE RENE DESCARTES","41260","LA CHAUSSEE ST VICTOR","0254561053","0680685889","","3312Z","82303106700023","6 à 9","","TOUCHARD DAVID","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"POLAIR VAL DE LOIRE","","77 ROUTE NATIONALE","41500","ST DYE SUR LOIRE","0254810936","0623033975","","3312Z","48165383000028","0","","ROUSSEAU FREDERIC","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"CLIMATIFROID","","15 BOULEVARD FRANCOIS DELAY","42400","ST CHAMOND","0673921641","","","3312Z","44958532200026","0","","OUDIN FRANCOIS-REGIS","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"DEMSAT THERMIE","","57 RUE BORDE","45800","ST JEAN DE BRAYE","0661556109","","","3312Z","53300402400030","Inconnu","","MERCIER ALEXANDRE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"FROID ET MACHINES DU HAUT QUERCY","","363 RUE ACTIPOLE LES TOURS","46400","ST LAURENT LES TOURS","0565380343","","0565380090","3312Z","31022602200039","0","froid.et.machines@wanadoo.fr","BOUSQUET JEAN-MICHEL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"BALZAC FROID 47","","LAMOTHE","47310","STE COLOMBE EN BRUILHOIS","0553678908","0607379827","","3312Z","49350070600012","3 à 5","contact@balzacfroid47.fr","BALZAC PATRICK","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ADEMA FROID","","21 RUE EDMOND CANNELLE","49130","LES PONTS DE CE","0241341414","","0241341771","3312Z","41227976200030","6 à 9","adema.froid@wanadoo.fr","CHESNOUARD JEAN-CLAUDE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"FCM EURL","ZA FERNAND FINEL","53 ROUTE ZI","50430","LESSAY","0607150980","","","3314Z","88438338100016","Inconnu","eric.lhomme@orange.fr","MONTAIGNE ROMAIN","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"PAUTRE JF","451 CITE VAUBAN","28 RUE GASTON BACHELARD","52200","LANGRES","0770156144","","","3312Z","5349541020002","0","","","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"GENIE CLIMATIQUE DE LORRAINE","ZAC PULNOY ESSEY","7 ALLEE NOIRES TERRES","54425","PULNOY","0383382149","","","3314Z","79361420700025","Inconnu","","FRISONI OLIVIER","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"AXIMA REFRIGERATION FRANCE","","3 RUE JOSEPH CUGNOT","57070","METZ","0387384847","","","3312Z","44026717701026","0","","MEYKUCHEL LAURENT","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ELECTROFROID SERVICES","","8 CHEMIN CIMETIERE","57200","SARREGUEMINES","0768043802","","","3312Z","81300165800026","Inconnu","","WEGNER SEBASTIEN","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ENTREPRISE ROGER SUTTER","","5 RUE PRINCIPALE","57370","METTING","0387254902","","0387080707","3312Z","30457675400010","0","","MANICK GERARD","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"FRIGICLIM EURL","","4 Bis RUE ST LOUIS","57150","CREUTZWALD","0387820901","","","3312Z","41407915200032","1 à 2","","NASSO MICHELANGELO","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"IDFC","","1 ROUTE CLAMECY","58190","AMAZY","0631137934","","0363556061","3312Z","53849056600022","Inconnu","","LIBRERO LAURENT","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ATM","ZAC MOULIN","14 RUE CENSE DES RAINES","59710","ENNEVELIN","0320649144","","0320649151","3312Z","41356076400032","6 à 9","atm.chevalier@wanadoo.fr","BARTIER ROMAIN","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"INTER SERVICE FROID","","225 RUE VIEILLE EGLISE","59168","BOUSSOIS","0327649839","","0327640937","3312Z","49377362600038","3 à 5","","HUBINET BENOIT","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"PICARDIE FROID","","7 Bis RUE PARIS","60800","LEVIGNEN","0344941073","0680131720","","3312Z","38833569700032","3 à 5","","BIGARE DOMINIQUE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"BARRAUD","","10 B CHEMIN MUNUNIERNIA ARBONNE","64210","ARBONNE","0631671259","","","3312Z","52320440200029","Inconnu","","BARRAUD PATRICK","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"CHAUFFAGE SANITAIRE GEORGES DIEBOLD","","1 RUE PRES","67270","HOHFRANKENHEIM","0388917436","","","3312Z","53402626500023","1 à 2","","STEINER YANNICK","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"GASTRO PRO SERVICE GPS","","1 AVENUE SHAKESPEARE","67200","STRASBOURG","0662272633","","","3314Z","81400536900016","Inconnu","","GOK MAHMUT","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"STEIN'AIR EURL","1 QUINQUIES","RUE CAMP","67240","OBERHOFFEN SUR MODER","0981817645","","","3312Z","53402626500023","1 à 2","","STEINER YANNICK","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"AXIMA REFRIGERATION FRANCE","","1 A RUE DES PAPETERIES","68000","COLMAR","0389711366","0389617160","","3312Z","44026717700358","0","landivisiau@aximaref.com","MEYKUCHEL LAURENT","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ETABLISSEMENTS MELLINGER EURL","","15 RUE LILAS","68230","TURCKHEIM","0389779636","0681104080","","3312Z","44026717700358","0","","MEYKUCHEL LAURENT","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"FLASH DEPANNAGE","","26 RUE JARDINS","68500","MERXHEIM","0670941652","","","3312Z","83811279500029","0","","FLEISCH JEREMY","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"STIHLE FRERES SA","ZA","7 RUE FECHT","68230","WIHR AU VAL","0389710919","","","3312Z","83811279500029","0","","FLEISCH JEREMY","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ACLIMAX","","2 RUE GABRIEL BOURDARIAS","69200","VENISSIEUX","0478844000","0610508229","0478038763","3312Z","45069783400031","3 à 5","","","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ADF CLIMATISATION","","16 RUE JULES FERRY","69360","ST SYMPHORIEN D'OZON","0478702011","","","3312Z","52210754900035","6 à 9","","","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ASSIST TECHN FROID CLIM","","6 CHEMIN CHANZE","69490","DAREIZE","0474632989","","","3312Z","39231236900045","1 à 2","","MILLERIOUX JACQUES","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"BP MAINTENANCE","","850 ROUTE CRETES","69480","LACHASSAGNE","0427499823","","","3312Z","81051743300019","1 à 2","pierre@bpmaintenance.fr","BROALY PIERRE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"CLIM ASSISTANCE","","594 BOULEVARD ALBERT CAMUS","69400","VILLEFRANCHE SUR SAONE","0474681774","","0474681855","3312Z","49066849800036","20 à 49","contact@climassistance.eu","ROVERY LUC","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"FROID CLIM COURTIAL","","16 CHEMIN BELVAY","69330","PUSIGNAN","0478313073","","","3312Z","53067342500019","1 à 2","","COURTIAL CHRISTOPHE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"GLT MAINTENANCE","ZAC DE SACUNY PARC AVENIR","AVENUE MARCEL MERIEUX","69530","BRIGNAIS","0472317340","","","3314Z","50763586000020","6 à 9","","BULLY GERAUD","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"STATION CLIM SERVICES","","2 RUE LOUIS ET M LOUISE BAUMER","69120","VAULX EN VELIN","0478054159","0684378843","","3312Z","74983894200029","1 à 2","","SCELLIER LUDOVIC","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"AERAULIQUE CLIMATISATION","","2042 RUE ST VALLIER","71410","SANVIGNES LES MINES","0385786602","","","3312Z","82320324500019","3 à 5","","BARNET PAUL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"CLIMATISERVICE","","LES CANETS","71390","VILLENEUVE EN MONTAGNE","0777305153","","","3312Z","52844963000011","Inconnu","","CLIMATISERVICE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ALP'EQUIPEMENT","","458 ROUTE VERGER","74250","VIUZ EN SALLAZ","0450036948","","0450036292","3312Z","43281469700020","1 à 2","","SENNEGON CYRILLE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"AGER","","157 RUE PYRENEES","75020","PARIS","0143710071","","0140090093","3312Z","41321870200012","3 à 5","contact@ager.fr","DIDIER FLORENT","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"EUROFROID 76","","165 CHAUSSEE PICARDIE","76260","EU","0235500780","","0235506022","3312Z","38802283200025","3 à 5","","ACCARD STEPHANE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"FIRMS ENERGIES","","6 RUE ARAUCARIAS","76620","LE HAVRE","0277670336","0777078649","","3314Z","53503329400021","Inconnu","contact@firmsenergies.com","AZIZI-ALAOUI FOUAD","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"CHAUD FROID SERVICES","","2 RUE PUITS GODIER","77650","SOISY BOUY","0164005991","0676583454","","3312Z","50294509000020","1 à 2","","RODRIGUES BAETA LUDOVIC","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"L'AIR SEREIN","","17 RUE BRIQUETERIE","77500","CHELLES","0160051010","","","3312Z","75125349300041","Inconnu","","","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"LES TECHNICIENS CONFORTISTES","","4 RUE LAITON","77176","SAVIGNY LE TEMPLE","0164190750","","","3312Z","47922467700019","10 à 19","s.tourret@clim.fr","CHEREAU DOMINIQUE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"AMENAGEMENT CONCEPTION REALISATION ACR SARL","","PLAN FLORENT 9 TOURNOUNE","83600","BAGNOLS EN FORET","0494440998","","","3312Z","44862670500017","3 à 5","","FAGU JULIE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"CPMN","","18 RUE LAZARE CARNOT","83340","LE LUC","0494737868","0615944020","","3312Z","75229734100014","0","","VINCENTZ CHRISTOPHE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"LB SERVICES","","CHEMIN EUSSIERES","83590","GONFARON","0642710296","","","3312Z","79271975900021","Inconnu","","BURKMANN LUC","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"SEE SAUTEREAU","","ROUTE NATIONALE 97 295 QUART PIERRE RONDE","83130","LA GARDE","0494633503","","0494634119","3312Z","44275925400026","10 à 19","christine.see.sautereau@wanadoo.fr","","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"STEAM FROID","","CHEMIN ROUGES GORGES","83390","CUERS","0660502520","","","3312Z","84276499500010","Inconnu","","FERET THOMAS","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"VITIFROID","","5 RUE CHARLES DE FREYCINET","83670","BARJOLS","0640774995","","","3312Z","81855506200012","0","","LASKAR FRANK","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"CLIMPART","","2437 CHEMIN ANSOUIS AUX GAVEDES","84240","ANSOUIS","0490796486","0680662353","0490095484","3312Z","42957898200028","6 à 9","","LEVRERE THIERRY","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"AB ENERGIE","","25 LE PUHAT","88490","LUSSE","0611093690","","","3312Z","53819614800018","Inconnu","","BOEHM ALEXANDRE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"SYNERGIE MAINTENANCE","","7 ROUTE ONCOURT","88150","CAPAVENIR VOSGES","0329393737","","0329393838","3312Z","37988899300050","Inconnu","","PERRIN JEROME","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"CLIMATIK AIR","","44 RUE JONQUILLES","91210","DRAVEIL","0971374241","0603128476","","3312Z","52444897400021","Inconnu","","CHELLAT NABIL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"L F C AVOND SERVICES","","179 BOULEVARD JOHN KENNEDY","91100","CORBEIL ESSONNES","0164961621","","0164963131","3312Z","41268796400046","20 à 49","","AOUANE ABDELAAZIZ","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"C' FROID PLUS","","83 AVENUE HENRI GINOUX","92120","MONTROUGE","0950267481","","","3312Z","34499607900044","Inconnu","","CHMILEWSKY LAURENT","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"PICHARD ETABLISSEMENTS STE","","69 RUE ANDRE THEURIET","93600","AULNAY SOUS BOIS","0148667848","0771148185","0148662010","3312Z","69820073000035","10 à 19","pichardfroid@wanadoo.fr","POLO MARIE EPOUSE PICHARD","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"TECHNOCOLD","","20 RUE COMMUNE DE PARIS","93300","AUBERVILLIERS","0651380150","","","3312Z","87861974100019","Inconnu","","AMAIRI WALID","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"THERMO SOLUTIONS SERVICES","","25 RUE MAR LECLERC","94410","ST MAURICE","0663867395","","","3314Z","82768941500012","Inconnu","","AIGUADEL-JALEME JOEL","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"SERI FROID","","16 RUE AMPERE","95300","PONTOISE","0130302058","","0134259142","3312Z","31346886000025","3 à 5","","OZBOLT SABINE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"COFEX","","7 PLACE LAURIERS ROSES","13010","MARSEILLE","0491450325","","","3312Z","39915024200010","6 à 9","","HAON PASCAL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ALTUS ENERGY","","55 ALLEE PIERRE ZILLER","06560","VALBONNE","0483151150","","0483151151","3314Z","50231583100078","Inconnu","","DEBONNET MATHIEU","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"DMA ENERGIES","","L'HOPITAL","11240","ROUTIER","0661256006","","","3314Z","81379305600017","3 à 5","","BUGOT CECILE","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"ATTECA 22 CLIMATISATION  2 DEGRES ASSISTANCE T","CENTRE COMMERCIAL CALVAIRE ST PI","22 RUE DEFENSE PASSIVE","14000","CAEN","0673538863","","","3312Z","43804460400025","0","","MIRANDA XAVIER NUNES ELLIANI","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"BIOTECH ENERGIES","","10 RUE GEORGES BRASSENS","31600","MURET","0630145454","","","3314Z","53143441300013","0","","L HABIB MADANI","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"ENERSTOCK","","6 RUE GARRIGUES","34130","MUDAISON","0467551721","","","3314Z","87898587800015","Inconnu","","","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"ENERGIE FORMATION MAINTENANCE","","LA METAIRIE 10 L'EPINAT","36800","CHASSENEUIL","0630251795","","","3314Z","79422555700014","0","","BAUDAT GILLES","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"SPIE SUD EST","Z.I.","707 RTE VALENCE","38113","VEUREY VOROIZE","0476251109","","0476246054","3312Z","44005586101690","0","","TIRMARCHE ARNAUD","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ENERCON SERVICE FRANCE","","14 RUE BOSQUETS","44840","LES SORINIERES","0228094910","","","3312Z","52483214400033","100 à 199","","BOISSEAUX FREDERIC","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"SAINT LAURENT MAINTENANCE","","17 RUE LAURENT BONNEVAY","54100","NANCY","0383545434","","","3312Z","49398275500016","1 à 2","","CHARMY LAURENT","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ENERCON SERVICE FRANCE","ZI LE MEUX","2 RUE TOURTERET","60880","LE MEUX","0344373510","","0344373520","3314Z","74986452600027","100 à 199","contact-france@enercon.de","BOISSEAUX FREDERIC","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"SURVOLT SARL","","RUE CHARLES DE GAULLE","63210","NEBOUZAT","0674487757","","","3314Z","81076009000011","0","","MILLON CAMILLE","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"FOUGERE SYLVAIN","","ROUTE MADIRAN","64350","SEMEACQ BLACHON","0786661723","","","3312Z","40114450600060","0","solutek.assistance@laposte.net","FOUGERE SYLVAIN","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"GEMCO INTERNATIONAL","","5 RUE FRERES WRIGHT","64140","LONS","0559727474","","0559727470","3312Z","32514022600011","50 à 99","","BERNHART CHRISTOPHE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"EMASOLAR","","25 RUE ST JEAN DE DIEU","69007","LYON","0478869775","","","3314Z","5348580630005","Inconnu","info@emasolar.com","","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"ECOTERMIC","","2 Bis CHEMIN MARCHANDS","78770","GOUPILLIERES","0980738409","","","3312Z","75296537600011","1 à 2","","ANTONY PHILIPPE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"DEUTSCHE WINDTECHNIK","","118 RUE MARAIS","80310","PICQUIGNY","0322447880","","","3314Z","82211107600037","Inconnu","","B SCHEN HENDRIK","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"LIMATECH","ZA DE LA GALIVE","RUE GRAND PRAT","19600","ST PANTALEON DE LARCHE","0555860505","","0555873612","3312Z","39101833000046","Inconnu","","","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"CEME CONTROLE ELECTRONIQUE MINAGE EUROPE","","ZA ECONOMIQUE LA LOUIERE","25620","L'HOPITAL DU GROSBOIS","0384828886","","","3313Z","50456641500031","0","","NICOLAS PIERRE","REPARATION DE MATERIELS ELECTRONIQUES ET OPTIQUES"
"SIMPOIS DEPANNAGES SERVICES","","50 RUE ARTISANAT","26600","BEAUMONT MONTEUX","0475594196","","","3312Z","53377279400012","6 à 9","","SIMPOIS CEDRIC","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"PRECIMECA","","68 CHEMIN FENOUILLET","31200","TOULOUSE","0561712523","","","3312Z","38834677700021","20 à 49","","","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"SOCIETE DE MAINTENANCE PETROLIERE SMP","","LIEU DIT PENSE FOLIE","45220","CHATEAURENARD","0238289212","","","3312Z","41754902900011","100 à 199","","RAIGNEAU BERNARD","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"SOCIETE DE MAINTENANCE PETROLIERE SMP","","12 AVENUE BARTHELEMY THIMONNIER","64140","LONS","0559024999","","0559623084","3312Z","41754902900029","0","","RAIGNEAU BERNARD","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ENERGIE CORSE ELECTRIQUE","BAT A","RUE NICOLAS PERALDI","20090","AJACCIO","0612550568","","0981403329","3313Z","53245007900027","0","","COSTA JOAQUIM","REPARATION DE MATERIELS ELECTRONIQUES ET OPTIQUES"
"INDUSTRIEL ET MEDICAL SERVICE","","7 RUE VILLAGE DE NERDRE","03100","MONTLUCON","0470040661","","","3313Z","45158992300023","Inconnu","","LARVARON HENRI","REPARATION DE MATERIELS ELECTRONIQUES ET OPTIQUES"
"SAS SPORT ADDICT","LIEU DIT AFINATOJO","CHEMIN DEPARTEMENTAL 340","20250","SANTO PIETRO DI VENACO","0495333097","","","3312Z","85228393600015","Inconnu","","CORTEGGIANI MARINA","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"PHP SPORT","","27 RUE GEORGE SAND","34920","LE CRES","0699534848","","","3312Z","43761412600021","Inconnu","","PERRIN PHILIPPE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"GILFOR","","11 ZI ALBI POLE","81150","TERSSAC","0563452045","","","3312Z","95062703400032","20 à 49","","GODEFROY DANIEL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"COLLARD PELISSON ETS","","850 LE BALMAY","01430","VIEU D'IZENAVE","0474763552","","0474763133","3312Z","95041333600013","10 à 19","","PELISSON ALAIN","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"EUROTAX","","3 AVENUE ANNONAY","69500","BRON","0478267720","","","3313Z","44143366100010","3 à 5","","ALTOUNIAN ALEXANDRE","REPARATION DE MATERIELS ELECTRONIQUES ET OPTIQUES"
"SOLUTION LEVAGE","","6 Bis RUE PARC DES VERGERS","91250","TIGERY","0677660115","","0169131284","3312Z","79290471600026","1 à 2","","LE PERU PHILIPPE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"CUISINES REFERENCES ARCHI CONCEPTION HABITAT A","","RUE HOMMERAIE","79400","AZAY LE BRULE","0516640080","","","3312Z","50127288400039","6 à 9","azaylebrule@cuisines-references.com","CARRE JEAN-LUC","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"BLANCHIER SARL","","RUE MARECHALERIE","79370","ST MEDARD","0549071092","","0549072758","3312Z","39776891200016","3 à 5","sarlblanchier@orange.fr","BLANCHIER CYRIAQUE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"NSE","","RUE MARIUS COURTEIX","03150","VARENNES SUR ALLIER","0470355350","","","3313Z","39402090300230","10 à 19","","REMUZON ALAIN","REPARATION DE MATERIELS ELECTRONIQUES ET OPTIQUES"
"ARIZE INFORMATIQUE ET SERVICES AIS INFORMATIQU","","3 ROUTE FOIX","09100","PAMIERS","0534010235","","","3312Z","44368747000064","0","","CAPELLA SYLVIE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"G R C S SARL","","18 RUE BUTINEUSE","13015","MARSEILLE","0491673988","","0491813834","3314Z","48982637000020","6 à 9","","MUNOZ OLIVIER","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"SINORG SCETORG IMPACT","","CHEMIN AUMONE VIEILLE","13400","AUBAGNE","0491188283","","","3312Z","35132272200031","200 à 249","","KAWATSU TOSHIHIKO","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"MAINTENANCE ET SERVICES","","48 RUE MOULIN ST SATURNIN","17620","ST AGNANT","0612847858","","","3312Z","49302622300013","0","","MALISSEN MICHEL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"C'PRO SUD","","200 RUE TOURS","31670","LABEGE","0562190505","","","3312Z","39089573800032","20 à 49","","","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"AIER","","26 AVENUE ALEXIS REY","35440","MONTREUIL SUR ILLE","0630919732","","","3313Z","79121013100011","Inconnu","","RENAULT LUDOVIC","REPARATION DE MATERIELS ELECTRONIQUES ET OPTIQUES"
"JET 7 INFORMATIQUE","","28 ZA LA FOSSE AUX LOUPS","50600","ST HILAIRE DU HARCOUET","0233795360","","0233490166","3313Z","44496647700036","1 à 2","contact@jet7informatique.com","SAULNIER REGIS","REPARATION DE MATERIELS ELECTRONIQUES ET OPTIQUES"
"ISOCELL SAS","","495 RUE ABREGAIN","62800","LIEVIN","0321455918","","0972354390","3312Z","80841406400010","1 à 2","secretariat@sas-isocell.fr","INGELAERE LAURENT","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"MAINTENANCE TECHNIQUE DEPANNAGE MTD SARL","","MAIL DET HOURC","65200","GERMS SUR L'OUSSOUET","0622952777","","","3312Z","40871961500028","0","","VALAT THIERRY","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
