"Nom","Adresse 1","Adresse 2","Code postal","Ville","Téléphone 1","Téléphone 2","Fax","NAF","SIRET","Effectif","Email","Responsable","Activité","Activité","Activité","Activité","Activité"
"ALLIANZ DE GOUTTES BRUNO AGENT GENERAL","","60 RUE DREUILHE","31250","REVEL","0561835327","","","6622Z","50981373900026","Inconnu","philou.de.gouttes@hotmail.fr","CABINET GOMIS-GARRIGUES-ZARAGOZA","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"ALLIANZ EMMANUEL TAFFOREAU AGENT GENERAL","","2 Bis AVENUE MARCEL DORET","31500","TOULOUSE","0561623409","","","6622Z","50944866800038","10 à 19","","TAFFOREAU EMMANUEL","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"ALLIANZ RIVE GAUCHE","","89 Bis ALLEE CHARLES DE FITTE","31300","TOULOUSE","0561479721","","","6622Z","38822803300048","Inconnu","","MASSIGNAN FRANCOIS","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"ALLIANZ TOULOUSE","","138 BOULEVARD PIERRE ET MARIE CURIE","31200","TOULOUSE","0561479721","","","6622Z","38822803300048","Inconnu","","MASSIGNAN FRANCOIS","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"ARDILLON ASSURANCES ET CONSEILS","","14 COURS ALSACE LORRAINE","31460","CARAMAN","0561204466","","0562009024","6622Z","75221499900019","3 à 5","","GOWIN JEAN","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"AREAS ASSURANCE LAETITIA BRUSTIER AGENT","","15 AVENUE FRANCOIS MITTERRAND","31470","ST LYS","0561917161","","0561913947","6622Z","39170128100035","0","","LAJARRIGE MICHEL","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"AREAS ASSURANCES  ALEXANDRE MORA  AGENT GEN","","6 AVENUE FRANCOIS MITTERRAND","31290","VILLEFRANCHE DE LAURAGAIS","0534666092","0607528109","","6622Z","81953655800011","Inconnu","","MORA ALEXANDRE","AGENTS GENERAUX D'ASSURANCES","GESTION DE PATRIMOINE","CONSEILS, ETUDES FINANCIERES","COURTIERS D'ASSURANCES","MUTUELLES D'ASSURANCES"
"ASSUREZ VOUS","","108 AVENUE GLOIRE","31500","TOULOUSE","0567522272","","","6622Z","83864169400016","Inconnu","","MARTY YANN","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"AVIVA ASSURANCES PRIERE PIERRE JEAN","","10 ALLEE ROUSSION 10 R ROUSSILLON","31100","TOULOUSE","0561768743","","0561768748","6622Z","48766175300029","3 à 5","","PRIERE PIERRE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"AXA LEBON SARAH AGENT GENERAL","","61 RUE REPUBLIQUE","31290","VILLEFRANCHE DE LAURAGAIS","0532111761","","","6622Z","84022839900019","Inconnu","","LEBON SARAH","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"AXA ZANDERIGO ROMAIN AGENT GENERAL","","22 CHEMIN CROISETTE","31860","PINS JUSTARET","0561761396","","0561910283","6622Z","48895271400019","1 à 2","","ZANDERIGO ROMAIN","AGENTS GENERAUX D'ASSURANCES","BANQUES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES",""
"BAQUE DIDIER","","16 RUE PONT ST PIERRE","31300","TOULOUSE","0534511351","","0534511352","6622Z","42243142900014","1 à 2","","BAQUE DIDIER","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"BONNEFONT SERGE","","3 Bis PLACE HALLES","31390","CARBONNE","0561878218","","","7022Z","34802329200025","1 à 2","","BONNEFONT SERGE","AGENTS GENERAUX D'ASSURANCES","CONSEILS EN ORGANISATION, GESTION MANAGEMENT","CONSEILS, ETUDES FINANCIERES","COURTIERS D'ASSURANCES",""
"CABINET CHAUBET COURTAGE","","122 Bis QUAI TOUNIS","31000","TOULOUSE","0534450400","","0561122308","6622Z","38515462000020","20 à 49","","JUAN STEPHANE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"CABINET CONSEIL EN INVESTISSEMENTS","","28 AVENUE HENRI GUILLAUMET","31500","TOULOUSE","0534258190","","0534258189","6622Z","51166562200037","0","","VOISIN CHRISTINE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"CABINET DE DARAN  CHARBONNEL","","8 PORT ST SAUVEUR","31000","TOULOUSE","0561805040","","0561348769","","0","Inconnu","","","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"FAURE FAURE ROUX","","2516 ROUTE TARBES","31470","FONSORBES","0562200371","","","6622Z","80874480900027","1 à 2","","SPEC FAURE FAURE","AGENTS GENERAUX D'ASSURANCES","BANQUES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES",""
"FORTUNAE ASSURANCES","BAT F LE PRE CATELAN","ALLEE JEAN JAURES","31000","TOULOUSE","0531619210","","","6622Z","81139259600037","Inconnu","","BERTHELEMY AGATHE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"GALEY LABAUTHE MARC","","21 PLACE DUPUY","31000","TOULOUSE","0562730909","","0561631215","6622Z","51886352700017","6 à 9","","LABAUTHE PHILIPPE","AGENTS GENERAUX D'ASSURANCES","BANQUES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES",""
"GAN ASSURANCES ROMAIN BAUMANN PROBYGAN","","1 AVENUE ANDRE TURCAT","31490","LEGUEVIN","0561841141","0668876262","","","0","","","","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"GAN COLLIGNON CHAUVEY COUTAND AGENTS GENERAUX","","54 Bis AVENUE JACQUES DOUZANS","31600","MURET","0534460706","","","6622Z","85248177900027","Inconnu","j.viaud@gan.fr","CHAUVEY CHRISTIAN","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"GENERALI GOWIN JEAN JACQUES AGENT GENERAL","","1 AVENUE MAR FOCH","31800","ST GAUDENS","0562009020","","0562009024","6622Z","75221499900019","3 à 5","contact@agp-gowin.fr","GOWIN JEAN","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"GUERGUIL JEAN JACQUES","","213 RUE FONTAINES","31300","TOULOUSE","0561493950","","0561150179","6622Z","32048252400057","3 à 5","","BONNEL FRANCIS","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"GUIONY","","15 BOULEVARD MARENGO","31500","TOULOUSE","0534255999","","","6622Z","42932583000041","1 à 2","guiony-jp@aviva-assurances.com","GUIONY JEAN-PHILIPPE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"HUGUENARD PATRICK","","36 GRANDE RUE ST MICHEL","31400","TOULOUSE","0534312400","","0534312404","6622Z","42137479400038","1 à 2","huguenard-patrick@aviva-assurances.com","HUGUENARD PATRICK","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"LA MAISON DE L ASSURANCE","","37 ROUTE BAYONNE","31300","TOULOUSE","0534570556","","","6622Z","44196295800019","1 à 2","","DESSOULI KARIM","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","MUTUELLES D'ASSURANCES","",""
"LAFITTE ANTOINE AGENT GENERAL AXA","","192 AVENUE CASTRES","31500","TOULOUSE","0682076771","","","6622Z","51284328500044","Inconnu","","LAFITTE ANTOINE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"MMA ARNAULD PERRIER COURTIER","ZA LANNE BAZERT","LES PORTES DU VAL D'ARAN","31210","GOURDAN POLIGNAN","0561946107","","","6622Z","49357962700099","Inconnu","","DUPONT AURELIE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"MMA PAUCTON CHRISTOPHE AGENT GENERAL","","61 AVENUE PYRENEES","31830","PLAISANCE DU TOUCH","0561074370","","","6622Z","52783880900020","3 à 5","guy.dechaunac@mma.fr","PAUCTON CHRISTOPHE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","MUTUELLES D'ASSURANCES","SOCIETES D'ASSURANCES",""
"MONT'ASSUR","","52 AVENUE MAR JOFFRE","31800","ST GAUDENS","0561952020","","","6622Z","40394329300064","1 à 2","","BAILLON PATRICK","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"MONTSEGUR ASSURANCES","","21 AVENUE FRONTON","31200","TOULOUSE","0561131344","","0561234425","6622Z","53835485300011","3 à 5","toulouse@montsegur-assurances.fr","BOUCHER DE LA RUPELLE IMBERT DE BALORRE ALEXIS","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"ROBARDEY","","17 ALLEE ROUSSILLON","31770","COLOMIERS","0561992258","","","6622Z","79123167300033","Inconnu","robardey.assurances@wanadoo.fr","DIAS CEDRIC","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"AXA GRAOU STEPHANE AGENT GENERAL","CCAL ENDOUMINGUES","6 RUE LUCIE AUBRAC","32000","AUCH","","","0562059513","6622Z","44361986100026","Inconnu","","ESCOUBET JEAN-MARC","AGENTS GENERAUX D'ASSURANCES","BANQUES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES",""
"BASSAT KERMORVANT SC","","4 AVENUE YSER","32000","AUCH","0562634880","","0562636121","6622Z","51012224500010","3 à 5","1096671@agents.allianz.fr","BASSAT KERMORVANT SEBASTIEN","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","MUTUELLES D'ASSURANCES","",""
"CABINET GAN ASSURANCES","","29 Bis AVENUE TENAREZE","32800","EAUZE","0562099545","","0562071443","6622Z","80874480900035","0","","SPEC FAURE FAURE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"CAPDECOMME MATHIEU","","88 RUE NATIONALE","32700","LECTOURE","0562688243","","0562688884","6622Z","89206266200010","Inconnu","","CAPDECOMME MATHIEU","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","EXPERTS EN ASSURANCES","MUTUELLES D'ASSURANCES","MUTUELLES"
"DEGRAVE STEPHANE","","13 PLACE ARMAGNAC","32800","EAUZE","0562098173","","","6622Z","35168880900059","1 à 2","","DEGRAVE STEPHANE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"GAN ASSURANCES AUCH ETIGNY","9","10 PLACE LIBERATION","32000","AUCH","0562050204","","","6622Z","87975795300010","Inconnu","","VAPPEREAU JEAN-LUC","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","MUTUELLES D'ASSURANCES","SOCIETES D'ASSURANCES",""
"HERES ALAIN","","24 RUE DESSOLES","32000","AUCH","0562056246","","0562058983","6622Z","34378097900013","1 à 2","","HERES ALAIN","AGENTS GENERAUX D'ASSURANCES","BANQUES","COURTIERS D'ASSURANCES","MUTUELLES","SOCIETES D'ASSURANCES"
"SDEGRAVE, CRAOUL ET CDAUGREILH / SPMG ASSURANC","","3 PLACE LIBERTE","32800","EAUZE","0562098109","","","6622Z","80042794000039","3 à 5","","SPMG ASSURANCES PAYS D ARMAGNAC S DEGRAVE C RAOUL C DAUGREI","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"SPMG ASSURANCE PAYS D'ARMAGNAC CDAUGREILH SDEG","","43 RUE NATIONALE","32110","NOGARO","0562090363","","","6622Z","82166895100014","Inconnu","","DAUGREILH CHRISTOPHE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"ABCL ASSURANCE BORDELAISE CORNET LUCAS","","179 ROUTE CANEJAN","33170","GRADIGNAN","0533093030","","","6622Z","83418529000022","Inconnu","","LUCAS YOHANN","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"ACCES IMMO FINANCES","","82 COURS VICTOR HUGO","33000","BORDEAUX","0556947953","","0556927736","6629Z","48894068500024","1 à 2","assurances@orientassur.fr","SERBOUTI MOHAMED","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","MUTUELLES D'ASSURANCES","SOCIETES D'ASSURANCES",""
"ALLIANZ DUCOSSON BENJAMIN AGENT GENERAL","","15 AVENUE BAYONNE","33850","LEOGNAN","0556521275","","","6622Z","79771903600049","Inconnu","","DUCOSSON BENJAMIN","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","MUTUELLES D'ASSURANCES","SOCIETES D'ASSURANCES",""
"ALLIANZ MINOT CLEMENT AGENT GENERAL","","25 AVENUE LEONARD DE VINCI","33600","PESSAC","0556041804","","","6622Z","52945815000024","0","","MINOT CLEMENT","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"ALLIANZ STACCHINI OLIVIER ET WILFRIED KARMES A","","92 RUE CHEVALIER DE LA BARRE","33130","BEGLES","0556495454","","0556619730","6622Z","33959532400015","0","4013421@agents.allianz.fr","JAUMAIN JEAN","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"AP CONSEIL","ZI DU PHARE","32 AVENUE GUSTAVE EIFFEL","33700","MERIGNAC","0556485754","","","6622Z","41352555100029","6 à 9","","THIERRY LAURENT","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"AREAS ASSURANCES ASSELIN CLAIRE","","891 AVENUE TOULOUSE","33140","CADAUJAC","0557832424","","0557832423","6622Z","39776425900032","1 à 2","","BRODIN CLAIRE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"ASSUREURS VITICOLES ASSOCIES AVA","","210 COURS MAR GALLIENI","33400","TALENCE","0557016265","","0556228631","6622Z","80951795600011","1 à 2","assureursviticolesassocies@aviva-assurances.com","SCPMG ASSUREURS VITICOLES ASSOCIES","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"AVIVA ASSURANCES LAGARDE C ET GILLIOZ P","","9 RUE CHARLES LAMOUREUX","33000","BORDEAUX","0556815381","","0556520761"," 6622","50036470800023","1 à 2","lagarde@aviva-assurances.com","SCPMG LAGARDE PIERRE ET GANELON SOPHIE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"AVIVA TAUFENEKER BERNARD  BALLARIN CHRISTINE A","","40 AVENUE JEAN JAURES","33190","LA REOLE","0556610028","","","6622Z","53868345900019","3 à 5","","BALLARIN CHRISTINE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","MUTUELLES D'ASSURANCES","SOCIETES D'ASSURANCES",""
"AXA ALMAMY KOUROUMA AGENT GENERAL","","RESIDENCE VERDEAU 10 R VERDEAU","33400","TALENCE","0649855269","","","6622Z","80951795600011","1 à 2","","SCPMG ASSUREURS VITICOLES ASSOCIES","AGENTS GENERAUX D'ASSURANCES","BANQUES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES",""
"AXA ASSURANCE LUCAS CORNET","","179 ROUTE CANEJAN","33170","GRADIGNAN","0533093030","","","6622Z","83418529000022","Inconnu","","LUCAS YOHANN","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","EXPERTS EN ASSURANCES","MUTUELLES D'ASSURANCES","MUTUELLES"
"AXA CORNET ET LUCAS AGENTS GENERAUX","","179 ROUTE CANEJAN","33170","GRADIGNAN","0533093030","","","6622Z","83418529000022","Inconnu","agence.cornetlucas@axa.fr","LUCAS YOHANN","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","EXPERTS EN ASSURANCES","MUTUELLES","MUTUELLES D'ENTREPRISES"
"AXA FLORENCE LANTHIEZ AGENT GENERAL","","33 AVENUE AUGUSTE FERRET","33110","LE BOUSCAT","0557090369","","","","0","","","","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"AXA GOURSOLLE PASCAL AGENT GENERAL","","30 PLACE GAMBETTA","33000","BORDEAUX","0556444242","","0556510250","6622Z","44438560300014","1 à 2","","GOURSOLLE PASCAL","AGENTS GENERAUX D'ASSURANCES","BANQUES","COURTIERS D'ASSURANCES","MUTUELLES","SOCIETES D'ASSURANCES"
"AXA LACLAU THIERRY AGENT GENERAL","","34 ROUTE ESTUAIRE","33390","PLASSAC","0557429006","","","6622Z","48109809300018","1 à 2","","LACLAU THIERRY","AGENTS GENERAUX D'ASSURANCES","BANQUES","COURTIERS D'ASSURANCES","",""
"AXA LAJOUS LAGREE AGT GENERAUX","","84 AVENUE CHARLES DE GAULLE","33260","LA TESTE","0557524747","","0557525949","6622Z","41060357500029","3 à 5","","FORTUNATO PATRKICK","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","MUTUELLES D'ASSURANCES","SOCIETES D'ASSURANCES",""
"AXA NACCACCHE DAVID AGENT GENERAL","","17 RUE SETE","33800","BORDEAUX","0785582717","","","6622Z","80411936000019","Inconnu","","NACCACCHE DAVID","AGENTS GENERAUX D'ASSURANCES","BANQUES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES",""
"AXA SIMON BOSSUT AGENT GENERAL","","RESIDENCE LA PALMERAIE PT16 52 R PACARIS","33400","TALENCE","0614841552","","","6622Z","40111817900027","0","","BERNARD FRANCOIS","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"BURDIGALA ASSURANCES PATRIMOINE","","77 AVENUE GEN LECLERC","33200","BORDEAUX","0556431085","","","6622Z","48804090800037","0","","GEHIN GUILLAUME","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"CAB CATHELINEAU PELLETAN","","21 AVENUE PARIS","33620","CAVIGNAC","0557681480","","","6622Z","49362915800020","1 à 2","","VERNHES EMILIE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"CABINET FOURNIE DESALBRES","","210 COURS MAR GALLIENI","33400","TALENCE","0557016262","","0557016263","6622Z","51920214700020","1 à 2","fournie-desalbres@aviva-assurances.com","SPMG FOURNIE DESALBRES","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"CABINET IMBERT ET AMIGUES","","3 AVENUE MEDOC","33320","EYSINES","0556083276","","","6622Z","40875104800039","0","","CABINET IMBERT AMIGUES","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"CABINET NADIA ECHAKIR GAN ASSURANCES","","99 COURS GEN DE GAULLE","33170","GRADIGNAN","0556890185","","","6622Z","49322345700034","Inconnu","","ECHAKIR NADIA","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"CAPE","","46 RUE TAUZIA","33800","BORDEAUX","0557355736","","","6622Z","80022390100052","Inconnu","info@groupesofraco.com","VIVIER JULIEN","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"CASSY","","7 PLACE ARISTIDE BRIAND","33480","CASTELNAU DE MEDOC","0556581967","","","6622Z","84779111800015","3 à 5","","CASSY PIERRE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"CHANTREL LOIC","","52 COURS VERDUN","33000","BORDEAUX","0556447037","","","6622Z","45299891700010","1 à 2","","CHANTREL LOIC","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"CONCEPT PATRIMOINE ETUDES INGENIERIE","","9 IMPASSE JULES HETZEL","33700","MERIGNAC","0540017750","","0540017759","6619B","45223577300028","6 à 9","contact@concept-patrimoine.fr","FEUILLE PHILIPPE","AGENTS GENERAUX D'ASSURANCES","GESTION DE PATRIMOINE","COURTIERS D'ASSURANCES","COURTIERS FINANCIERS","MUTUELLES D'ENTREPRISES"
"DOURSAT FRANCOIS","","37 QUAI CHARTRONS","33000","BORDEAUX","0556488800","","","6622Z","52296195200028","1 à 2","bordeaux-sully@gan.fr","LEFEBVRE CORINNE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"DRIVET PHILIPPE","","32 COURS VERDUN","33000","BORDEAUX","0556015353","","","6622Z","79514901200010","0","","DRIVET PHILIPPE","AGENTS GENERAUX D'ASSURANCES","BANQUES","COURTIERS D'ASSURANCES","MUTUELLES D'ASSURANCES","MUTUELLES D'ENTREPRISES"
"GABORIAU EMMANUEL","","25 AVENUE CHARLES DE GAULLE","33200","BORDEAUX","0556173232","","","6622Z","50257444500024","3 à 5","assur.ydf@wanadoo.fr","GABORIAU DE CHAMISSO","AGENTS GENERAUX D'ASSURANCES","BANQUES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES",""
"GAN ASSURANCES","","13 RUE CHEMINADE","33000","BORDEAUX","","","0557228308","6622Z","84403987500019","0","","SAVARY MORENO","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"GAN ASSURANCES","","232 RUE NATIONALE","33240","ST ANDRE DE CUBZAC","0557430948","","","6622Z","41060357500029","3 à 5","saint-andre-de-cubzac@gan.fr","FORTUNATO PATRKICK","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","EXPERTS EN ASSURANCES","MUTUELLES D'ASSURANCES","MUTUELLES"
"GAN NADIA ECHAKIR AGENT GENERAL","","99 COURS GEN DE GAULLE","33170","GRADIGNAN","0556890185","","","6622Z","49322345700034","Inconnu","","ECHAKIR NADIA","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","EXPERTS EN ASSURANCES","MUTUELLES","MUTUELLES D'ENTREPRISES"
"GENERALI CAMARET ET TEISSIER","","60 AVENUE THIERS","33100","BORDEAUX","0557809490","","0557809499","6622Z","40054456500023","Inconnu","","TEISSIER PHILIPPE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"HEURTEBIZE LUC & CLAVERIE JULIEN","","16 PLACE REPUBLIQUE","33410","CADILLAC","0556629966","","0989178985","6622Z","39287322000025","0","cadillac@gan.fr","HEURTEBIZE LUC","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","MUTUELLES D'ASSURANCES","SOCIETES D'ASSURANCES",""
"LUIZARD RODOLPHE","","1 ALLEE ESPERANCE","33650","LA BREDE","0557958560","","0557958109","6622Z","50899266600026","1 à 2","agence.luizardlabrede@axa.fr","LUIZARD RODOLPHE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","COURTIERS FINANCIERS","CREDIT IMMOBILIER","MUTUELLES"
"LUIZARD RODOLPHE","","113 AVENUE PASTEUR","33600","PESSAC","0556366084","","0556366096","6622Z","50899266600018","3 à 5","","LUIZARD RODOLPHE","AGENTS GENERAUX D'ASSURANCES","BANQUES","COURTIERS D'ASSURANCES","CREDIT A LA CONSOMMATION","CREDIT IMMOBILIER"
"MARTI CHARLES","","84 RUE REPUBLIQUE","33220","STE FOY LA GRANDE","0557461777","","0557465326","6622Z","41058177100012","1 à 2","marti-charles@aviva-assurances.com","MARTI CHARLES","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"MMA ASSURANCES DUTREIL FAUCHER AGENTS GE","","7 PLACE QUINCONCES","33000","BORDEAUX","0556320800","","0556520809","6622Z","32535485000019","6 à 9","","FAUCHER ALEXANDRE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","MUTUELLES D'ASSURANCES","MUTUELLES D'ENTREPRISES","SOCIETES D'ASSURANCES"
"MMA BORDEAUX PALAIS DE JUSTICE","","30 COURS MAR JUIN","33000","BORDEAUX","0556912067","","","6622Z","33904153500024","6 à 9","","SUBERVIE HUGUES","AGENTS GENERAUX D'ASSURANCES","BANQUES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES",""
"MUTUELLE DE POITIERS CHARLES EDOUARD DE LESTRA","","19 RUE FRERES RECLUS","33220","STE FOY LA GRANDE","0557464125","","","6622Z","48374308400020","1 à 2","","TESTASECCA DE LESTRADE CHARLES-EDOUARD","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","MUTUELLES D'ASSURANCES","MUTUELLES D'ENTREPRISES","MUTUELLES ETUDIANTES"
"MUTUELLE DE POITIERS THIERRY ET MAXIME LAFORET","","342 AVENUE ARES","33700","MERIGNAC","0556969139","","","","0","","","","AGENTS GENERAUX D'ASSURANCES","BANQUES","COURTIERS D'ASSURANCES","",""
"ORAKLEA COURTAGE","","5 ALLEE TOURNY","33000","BORDEAUX","0984086828","","","6622Z","79771903600049","Inconnu","","DUCOSSON BENJAMIN","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","MUTUELLES D'ASSURANCES","MUTUELLES",""
"SAMAD KANNOUH","","48 AVENUE JEAN JAURES","33600","PESSAC","0556455122","","0556453952","6622Z","79931749000016","1 à 2","","BAZARD FREDERIC","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","MUTUELLES D'ASSURANCES","MUTUELLES","MUTUELLES D'ENTREPRISES"
"SCHENK PIERRE CLAUDE ASSUREUR","","29 RUE BOUDET","33000","BORDEAUX","0556482442","","0556492579","6622Z","33762410000042","Inconnu","","RODRIGUEZ ALPHONSE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","COURTIERS EN MARCHANDISES","SOCIETES D'ASSURANCES",""
"SCPMG ASSUREURS VITICOLES ASSOCIES","","81 AVENUE GEN DE GAULLE","33500","LIBOURNE","0557016265","","0556228631","6622Z","80951795600011","1 à 2","","SCPMG ASSUREURS VITICOLES ASSOCIES","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"SOULIGNAC JEAN MICHEL","","102 RUE BENAUGE","33100","BORDEAUX","0556861945","","0557800159","","0","Inconnu","bordeaux-bastide@aviva-assurances.com","","AGENTS GENERAUX D'ASSURANCES","BANQUES","COURTIERS D'ASSURANCES","",""
"THELEM ASSURANCES BORRACHERO ANTONIO AGENT","","96 RUE FRANCOIS DE SOURDIS","33000","BORDEAUX","0556908333","","","6622Z","83367433600015","0","","BORRACHERO ANTONIO","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"TRADITIA","","127 RUE TURENNE","33000","BORDEAUX","0557818283","","0582839812","9319Z","75251866200024","Inconnu","","LE GOUZ DE SAINT SEINE PHILIPPE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","COURTIERS FINANCIERS","",""
